match_id,match_date,event_name,team_1_id,team_1,team_2_id,team_2,error
2389255,2026-01-13,BLAST Bounty 2026 Season 1,11861,Aurora,11581,HOTU,"expected 10 players, got 6"
2389631,2026-01-29,IEM Kraków 2026 Stage 1,12468,Legacy,13286,FUT,"expected 10 players, got 6"
2394218,2026-05-21,CS Asia Championships 2026,12467,PARIVISION,8840,Lynn Vision,"flaresolverr error: Error: Error solving the challenge. Message: session not created: cannot connect to chrome at 127.0.0.1:54467\nfrom chrome not reachable; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#sessionnotcreatedexception\nStacktrace:\n#0 0x5f0be37dccfe <unknown>\n#1 0x5f0be316cd51 <unknown>\n#2 0x5f0be3158d6c <unknown>\n#3 0x5f0be31abea3 <unknown>\n#4 0x5f0be31a2808 <unknown>\n#5 0x5f0be31f275c <unknown>\n#6 0x5f0be31f1fa9 <unknown>\n#7 0x5f0be31e2cd3 <unknown>\n#8 0x5f0be31afb8e <unknown>\n#9 0x5f0be31b07b1 <unknown>\n#10 0x5f0be379f4e0 <unknown>\n#11 0x5f0be37a27a5 <unknown>\n#12 0x5f0be37a21da <unknown>\n#13 0x5f0be37a2c05 <unknown>\n#14 0x5f0be378ef29 <unknown>\n#15 0x5f0be37a2f67 <unknown>\n#16 0x5f0be3777426 <unknown>\n#17 0x5f0be37c95f5 <unknown>\n#18 0x5f0be37c97d3 <unknown>\n#19 0x5f0be37db86a <unknown>\n#20 0x77bdcbe4c1f5 <unknown>\n"
2384883,2025-08-30,CCT Season 3 Europe Series 5,13286,FUT,12474,Alliance,"expected 10 players, got 11"
2389258,2026-01-13,BLAST Bounty 2026 Season 1,6667,FaZe,11737,EYEBALLERS,"flaresolverr error: Error: Error solving the challenge. Message: session not created: cannot connect to chrome at 127.0.0.1:35065\nfrom chrome not reachable; For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#sessionnotcreatedexception\nStacktrace:\n#0 0x56de2697dcfe <unknown>\n#1 0x56de2630dd51 <unknown>\n#2 0x56de262f9d6c <unknown>\n#3 0x56de2634cea3 <unknown>\n#4 0x56de26343808 <unknown>\n#5 0x56de2639375c <unknown>\n#6 0x56de26392fa9 <unknown>\n#7 0x56de26383cd3 <unknown>\n#8 0x56de26350b8e <unknown>\n#9 0x56de263517b1 <unknown>\n#10 0x56de269404e0 <unknown>\n#11 0x56de269437a5 <unknown>\n#12 0x56de269431da <unknown>\n#13 0x56de26943c05 <unknown>\n#14 0x56de2692ff29 <unknown>\n#15 0x56de26943f67 <unknown>\n#16 0x56de26918426 <unknown>\n#17 0x56de2696a5f5 <unknown>\n#18 0x56de2696a7d3 <unknown>\n#19 0x56de2697c86a <unknown>\n#20 0x7617052681f5 <unknown>\n"
2379067,2025-02-06,RES Showdown 1 Closed Qualifier,12394,BetBoom,4411,Ninjas in Pyjamas,"expected 10 players, got 9"
2375910,2024-09-17,CCT Season 2 Europe Series 13 Closed Qualifier,11737,EYEBALLERS,12895,K27,"expected 10 players, got 11"
2370077,2024-02-23,IEM Dallas 2024 North America Open Qualifier 1,6673,NRG,12257,Wildcard,"expected 10 players, got 11"
2383814,2025-07-18,ESL Pro League Season 22 South America Closed Qualifier,8113,Sharks,12468,Legacy,"expected 10 players, got 11"
2371188,2024-04-11,RES Regional Series 3 LATAM,8113,Sharks,4773,paiN,"expected 10 players, got 11"
2371154,2024-04-08,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,8113,Sharks,4773,paiN,"request error: HTTPConnectionPool(host='localhost', port=8191): Read timed out. (read timeout=70)"
2371150,2024-04-05,BetBoom Dacha Belgrade 2024 South America Closed Qualifier,8113,Sharks,4773,paiN,"expected 10 players, got 11"
2371103,2024-04-05,ESL Challenger League Season 47 South America,8113,Sharks,4773,paiN,"expected 10 players, got 11"
2374271,2024-08-09,IEM Cologne 2024 Play-in,7532,BIG,11283,Falcons,flaresolverr error: Error: Error solving the challenge. Message: Not Found\n
2380868,2025-03-24,PGL Astana 2025 Europe Open Qualifier 4,13117,Inner Circle,13027,Nuclear TigeRES,"expected 10 players, got 6"
2387641,2025-11-13,NODWIN Clutch Series 2,10245,JiJieHao,13027,Nuclear TigeRES,"expected 10 players, got 12"
2365553,2023-07-31,IEM Cologne 2023,4991,fnatic,9928,GamerLegion,"expected 10 players, got 6"
