match_id,team_1_id,team_1,team_score,team_2_id,team_2,team2_score,team_1_winner,match_date,event_name
2394174,9565,Vitality,1,4608,Natus Vincere,2,False,2026-05-16,IEM Atlanta 2026
2394170,9565,Vitality,2,11241,B8,0,True,2026-05-13,IEM Atlanta 2026
2394166,9565,Vitality,2,6667,FaZe,0,True,2026-05-13,IEM Atlanta 2026
2394157,9565,Vitality,1,12394,BetBoom,2,False,2026-05-12,IEM Atlanta 2026
2394108,9565,Vitality,2,12878,BC.Game,0,True,2026-05-11,IEM Atlanta 2026
2393350,9565,Vitality,3,4608,Natus Vincere,0,True,2026-05-03,BLAST Rivals 2026 Season 1
2393349,9565,Vitality,2,9928,GamerLegion,0,True,2026-05-02,BLAST Rivals 2026 Season 1
2393334,9565,Vitality,2,5995,G2,1,True,2026-04-30,BLAST Rivals 2026 Season 1
2393319,9565,Vitality,2,13286,FUT,1,True,2026-04-29,BLAST Rivals 2026 Season 1
2393245,9565,Vitality,3,7020,Spirit,0,True,2026-04-19,IEM Rio 2026
2393243,9565,Vitality,2,8297,FURIA,0,True,2026-04-18,IEM Rio 2026
2393241,9565,Vitality,2,4608,Natus Vincere,0,True,2026-04-17,IEM Rio 2026
2393236,9565,Vitality,1,11283,Falcons,2,False,2026-04-15,IEM Rio 2026
2393224,9565,Vitality,2,5995,G2,1,True,2026-04-14,IEM Rio 2026
2391775,9565,Vitality,3,4608,Natus Vincere,0,True,2026-03-29,BLAST Open Rotterdam 2026
2391773,9565,Vitality,2,11861,Aurora,0,True,2026-03-28,BLAST Open Rotterdam 2026
2391769,9565,Vitality,2,12467,PARIVISION,0,True,2026-03-23,BLAST Open Rotterdam 2026
2391762,9565,Vitality,2,6248,The MongolZ,0,True,2026-03-21,BLAST Open Rotterdam 2026
2390818,9565,Vitality,2,9996,9z,0,True,2026-03-19,BLAST Open Rotterdam 2026
2389987,9565,Vitality,3,12467,PARIVISION,0,True,2026-02-22,PGL Cluj-Napoca 2026
2389985,9565,Vitality,2,6248,The MongolZ,0,True,2026-02-21,PGL Cluj-Napoca 2026
2389982,9565,Vitality,2,11861,Aurora,0,True,2026-02-20,PGL Cluj-Napoca 2026
2389967,9565,Vitality,2,4494,MOUZ,0,True,2026-02-16,PGL Cluj-Napoca 2026
2389961,9565,Vitality,2,6248,The MongolZ,1,True,2026-02-15,PGL Cluj-Napoca 2026
2389951,9565,Vitality,2,5995,G2,1,True,2026-02-14,PGL Cluj-Napoca 2026
2389666,9565,Vitality,3,8297,FURIA,1,True,2026-02-08,IEM Kraków 2026
2389664,9565,Vitality,2,4494,MOUZ,0,True,2026-02-07,IEM Kraków 2026
2389658,9565,Vitality,2,11861,Aurora,0,True,2026-02-03,IEM Kraków 2026
2389649,9565,Vitality,2,4914,3DMAX,0,True,2026-02-02,IEM Kraków 2026
2389641,9565,Vitality,2,12878,BC.Game,0,True,2026-01-31,IEM Kraków 2026
2389279,9565,Vitality,1,11283,Falcons,2,False,2026-01-24,BLAST Bounty 2026 Season 1 Finals
2389277,9565,Vitality,2,9928,GamerLegion,0,True,2026-01-23,BLAST Bounty 2026 Season 1 Finals
2389273,9565,Vitality,2,11737,EYEBALLERS,0,True,2026-01-18,BLAST Bounty 2026 Season 1
2388130,9565,Vitality,3,6667,FaZe,1,True,2025-12-14,StarLadder Budapest Major 2025
2388128,9565,Vitality,2,7020,Spirit,0,True,2025-12-13,StarLadder Budapest Major 2025
2388124,9565,Vitality,2,6248,The MongolZ,0,True,2025-12-11,StarLadder Budapest Major 2025
2388115,9565,Vitality,2,4608,Natus Vincere,0,True,2025-12-06,StarLadder Budapest Major 2025
2388108,9565,Vitality,13,11241,B8,2,True,2025-12-05,StarLadder Budapest Major 2025
2388100,9565,Vitality,13,4914,3DMAX,4,True,2025-12-04,StarLadder Budapest Major 2025
2388095,9565,Vitality,7,6667,FaZe,13,False,2025-12-04,StarLadder Budapest Major 2025
2387549,9565,Vitality,0,11283,Falcons,2,False,2025-11-15,BLAST Rivals 2025 Season 2
2387547,9565,Vitality,2,7020,Spirit,1,True,2025-11-14,BLAST Rivals 2025 Season 2
2387545,9565,Vitality,1,8297,FURIA,2,False,2025-11-13,BLAST Rivals 2025 Season 2
2387506,9565,Vitality,2,4863,TYLOO,1,True,2025-11-12,BLAST Rivals 2025 Season 2
2387414,9565,Vitality,0,8297,FURIA,3,False,2025-11-09,IEM Chengdu 2025
2387412,9565,Vitality,2,4494,MOUZ,1,True,2025-11-08,IEM Chengdu 2025
2387410,9565,Vitality,2,6665,Astralis,1,True,2025-11-07,IEM Chengdu 2025
2387406,9565,Vitality,2,5995,G2,0,True,2025-11-05,IEM Chengdu 2025
2387401,9565,Vitality,2,8840,Lynn Vision,0,True,2025-11-05,IEM Chengdu 2025
2387395,9565,Vitality,1,4494,MOUZ,2,False,2025-11-04,IEM Chengdu 2025
2394178,4608,Natus Vincere,3,9928,GamerLegion,0,True,2026-05-17,IEM Atlanta 2026
2394175,4608,Natus Vincere,2,12394,BetBoom,0,True,2026-05-16,IEM Atlanta 2026
2394171,4608,Natus Vincere,1,12468,Legacy,2,False,2026-05-14,IEM Atlanta 2026
2394161,4608,Natus Vincere,2,9928,GamerLegion,1,True,2026-05-12,IEM Atlanta 2026
2394112,4608,Natus Vincere,2,12426,Passion UA,0,True,2026-05-11,IEM Atlanta 2026
2393348,4608,Natus Vincere,2,6667,FaZe,0,True,2026-05-02,BLAST Rivals 2026 Season 1
2393336,4608,Natus Vincere,2,9928,GamerLegion,0,True,2026-05-01,BLAST Rivals 2026 Season 1
2393321,4608,Natus Vincere,2,6667,FaZe,0,True,2026-04-29,BLAST Rivals 2026 Season 1
2393239,4608,Natus Vincere,2,11861,Aurora,1,True,2026-04-15,IEM Rio 2026
2393235,4608,Natus Vincere,2,11581,HOTU,0,True,2026-04-15,IEM Rio 2026
2393228,4608,Natus Vincere,1,8297,FURIA,2,False,2026-04-14,IEM Rio 2026
2393086,4608,Natus Vincere,2,11241,B8,1,True,2026-04-13,IEM Rio 2026
2391774,4608,Natus Vincere,2,12467,PARIVISION,1,True,2026-03-28,BLAST Open Rotterdam 2026
2391767,4608,Natus Vincere,2,11861,Aurora,0,True,2026-03-23,BLAST Open Rotterdam 2026
2391757,4608,Natus Vincere,2,11283,Falcons,1,True,2026-03-20,BLAST Open Rotterdam 2026
2390812,4608,Natus Vincere,2,11241,B8,1,True,2026-03-18,BLAST Open Rotterdam 2026
2391141,4608,Natus Vincere,3,11861,Aurora,1,True,2026-03-15,ESL Pro League Season 23 Finals
2391139,4608,Natus Vincere,2,13286,FUT,1,True,2026-03-14,ESL Pro League Season 23 Finals
2391134,4608,Natus Vincere,2,6248,The MongolZ,0,True,2026-03-13,ESL Pro League Season 23 Finals
2391131,4608,Natus Vincere,2,4914,3DMAX,1,True,2026-03-10,ESL Pro League Season 23 Stage 2
2391128,4608,Natus Vincere,0,12468,Legacy,2,False,2026-03-09,ESL Pro League Season 23 Stage 2
2391119,4608,Natus Vincere,2,11241,B8,0,True,2026-03-08,ESL Pro League Season 23 Stage 2
2391111,4608,Natus Vincere,1,5995,G2,2,False,2026-03-07,ESL Pro League Season 23 Stage 2
2391101,4608,Natus Vincere,2,11811,Monte,1,True,2026-03-06,ESL Pro League Season 23 Stage 2
2389981,4608,Natus Vincere,1,4494,MOUZ,2,False,2026-02-20,PGL Cluj-Napoca 2026
2389979,4608,Natus Vincere,2,5995,G2,0,True,2026-02-18,PGL Cluj-Napoca 2026
2389973,4608,Natus Vincere,1,6248,The MongolZ,2,False,2026-02-17,PGL Cluj-Napoca 2026
2389963,4608,Natus Vincere,2,11861,Aurora,1,True,2026-02-16,PGL Cluj-Napoca 2026
2389955,4608,Natus Vincere,0,4494,MOUZ,2,False,2026-02-15,PGL Cluj-Napoca 2026
2389947,4608,Natus Vincere,2,6665,Astralis,0,True,2026-02-14,PGL Cluj-Napoca 2026
2389653,4608,Natus Vincere,1,8297,FURIA,2,False,2026-02-02,IEM Kraków 2026
2389647,4608,Natus Vincere,0,7020,Spirit,2,False,2026-02-01,IEM Kraków 2026
2389639,4608,Natus Vincere,2,12467,PARIVISION,1,True,2026-01-31,IEM Kraków 2026
2389264,4608,Natus Vincere,1,11811,Monte,2,False,2026-01-14,BLAST Bounty 2026 Season 1
2388129,4608,Natus Vincere,1,6667,FaZe,2,False,2025-12-13,StarLadder Budapest Major 2025
2388127,4608,Natus Vincere,2,8297,FURIA,1,True,2025-12-12,StarLadder Budapest Major 2025
2388121,4608,Natus Vincere,2,11241,B8,0,True,2025-12-07,StarLadder Budapest Major 2025
2388109,4608,Natus Vincere,13,4773,paiN,8,True,2025-12-05,StarLadder Budapest Major 2025
2388106,4608,Natus Vincere,13,12467,PARIVISION,6,True,2025-12-04,StarLadder Budapest Major 2025
2388097,4608,Natus Vincere,2,8297,FURIA,13,False,2025-12-04,StarLadder Budapest Major 2025
2388080,4608,Natus Vincere,2,11241,B8,0,True,2025-11-30,StarLadder Budapest Major 2025 Stage 2
2387398,4608,Natus Vincere,1,7175,HEROIC,2,False,2025-11-04,IEM Chengdu 2025
2387380,4608,Natus Vincere,1,6665,Astralis,2,False,2025-11-03,IEM Chengdu 2025
2386809,4608,Natus Vincere,2,8297,FURIA,3,False,2025-10-19,Thunderpick World Championship 2025
2386807,4608,Natus Vincere,2,6248,The MongolZ,1,True,2025-10-18,Thunderpick World Championship 2025
2386802,4608,Natus Vincere,2,11861,Aurora,1,True,2025-10-16,Thunderpick World Championship 2025
2385964,4608,Natus Vincere,1,4494,MOUZ,2,False,2025-10-10,ESL Pro League Season 22
2385960,4608,Natus Vincere,2,6248,The MongolZ,0,True,2025-10-08,ESL Pro League Season 22
2385955,4608,Natus Vincere,2,11581,HOTU,0,True,2025-10-07,ESL Pro League Season 22
2385948,4608,Natus Vincere,1,4914,3DMAX,2,False,2025-10-06,ESL Pro League Season 22
2394156,7020,Spirit,3,11283,Falcons,0,True,2026-05-17,PGL Astana 2026
2394153,7020,Spirit,2,4494,MOUZ,0,True,2026-05-16,PGL Astana 2026
2394150,7020,Spirit,2,5995,G2,0,True,2026-05-15,PGL Astana 2026
2394138,7020,Spirit,2,8297,FURIA,1,True,2026-05-11,PGL Astana 2026
2394126,7020,Spirit,2,6248,The MongolZ,0,True,2026-05-10,PGL Astana 2026
2394121,7020,Spirit,2,12510,The Huns,0,True,2026-05-09,PGL Astana 2026
2393242,7020,Spirit,2,11283,Falcons,0,True,2026-04-18,IEM Rio 2026
2393240,7020,Spirit,2,4494,MOUZ,0,True,2026-04-17,IEM Rio 2026
2393237,7020,Spirit,2,5995,G2,0,True,2026-04-15,IEM Rio 2026
